Language,WorkTime
Khmer,Vollzeit
Hiri Motu,Teilzeit
Dhivehi,Vollzeit
Tsonga,Teilzeit
Belarusian,Teilzeit
Armenian,Vollzeit
Polish,Vollzeit
Mongolian,Vollzeit
Haitian Creole,Teilzeit
Kurdish,Vollzeit
Estonian,Vollzeit
Malayalam,Vollzeit
Afrikaans,Vollzeit
Albanian,Vollzeit
Catalan,Vollzeit
Nepali,Vollzeit
Albanian,Vollzeit
Maltese,Vollzeit
Armenian,Teilzeit
Swati,Vollzeit
Pashto,Teilzeit
Malay,Teilzeit
Hungarian,Vollzeit
Burmese,Vollzeit
Hebrew,Teilzeit
Tajik,Vollzeit
Assamese,Teilzeit
Danish,Vollzeit
Quechua,Vollzeit
Azeri,Vollzeit
West Frisian,Vollzeit
Persian,Teilzeit
Lao,Vollzeit
Malagasy,Vollzeit
Thai,Vollzeit
Aymara,Vollzeit
Swati,Vollzeit
Catalan,Vollzeit
Malayalam,Teilzeit
Kazakh,Vollzeit
Finnish,Teilzeit
Georgian,Vollzeit
Macedonian,Vollzeit
Filipino,Vollzeit
Romanian,Vollzeit
Polish,Vollzeit
Afrikaans,Teilzeit
Nepali,Teilzeit
Japanese,Vollzeit
Belarusian,Teilzeit
Icelandic,Teilzeit
Hiri Motu,Teilzeit
Bosnian,Vollzeit
Azeri,Teilzeit
Thai,Teilzeit
Tajik,Teilzeit
Assamese,Teilzeit
Latvian,Vollzeit
Bosnian,Teilzeit
Swati,Vollzeit
Punjabi,Teilzeit
Kazakh,Vollzeit
Macedonian,Vollzeit
Hiri Motu,Teilzeit
Kashmiri,Teilzeit
Bosnian,Vollzeit
Montenegrin,Vollzeit
Pashto,Vollzeit
Finnish,Teilzeit
Finnish,Vollzeit
Lao,Vollzeit
Indonesian,Teilzeit
Catalan,Teilzeit
Catalan,Teilzeit
Guaraní,Vollzeit
Hindi,Vollzeit
Aymara,Teilzeit
Māori,Vollzeit
Aymara,Vollzeit
Kurdish,Teilzeit
Punjabi,Vollzeit
Somali,Vollzeit
Lao,Teilzeit
Guaraní,Vollzeit
Malay,Vollzeit
Kyrgyz,Vollzeit
Hungarian,Vollzeit
Norwegian,Teilzeit
Finnish,Vollzeit
Lao,Teilzeit
Portuguese,Vollzeit
Thai,Teilzeit
Catalan,Teilzeit
Danish,Teilzeit
Thai,Teilzeit
Azeri,Vollzeit
Quechua,Vollzeit
Hiri Motu,Vollzeit
German,Vollzeit
Luxembourgish,Vollzeit
Danish,Teilzeit
Yiddish,Teilzeit
Gujarati,Vollzeit
Burmese,Teilzeit
Finnish,Teilzeit
Kannada,Teilzeit
Portuguese,Teilzeit
Polish,Teilzeit
Japanese,Teilzeit
Pashto,Teilzeit
Hungarian,Teilzeit
Irish Gaelic,Teilzeit
Gujarati,Vollzeit
Tamil,Vollzeit
Kannada,Teilzeit
Spanish,Vollzeit
Fijian,Vollzeit
Lao,Vollzeit
Yiddish,Vollzeit
Kurdish,Vollzeit
Macedonian,Teilzeit
Dhivehi,Teilzeit
Bulgarian,Teilzeit
Nepali,Teilzeit
Malayalam,Vollzeit
Azeri,Vollzeit
Portuguese,Teilzeit
Bosnian,Teilzeit
Malagasy,Vollzeit
Tswana,Teilzeit
Icelandic,Vollzeit
Punjabi,Vollzeit
Quechua,Vollzeit
Arabic,Vollzeit
Bosnian,Vollzeit
Fijian,Vollzeit
Romanian,Vollzeit
Kurdish,Vollzeit
Aymara,Vollzeit
Norwegian,Teilzeit
Hungarian,Vollzeit
Italian,Teilzeit
Malagasy,Vollzeit
Assamese,Vollzeit
Burmese,Teilzeit
French,Vollzeit
Oriya,Teilzeit
German,Vollzeit
Croatian,Teilzeit
Tajik,Teilzeit
Korean,Vollzeit
West Frisian,Teilzeit
Thai,Teilzeit
Marathi,Teilzeit
Zulu,Teilzeit
English,Teilzeit
Greek,Vollzeit
Italian,Teilzeit
Tetum,Teilzeit
Swedish,Teilzeit
Thai,Vollzeit
Kurdish,Vollzeit
Bosnian,Vollzeit
Mongolian,Teilzeit
Nepali,Teilzeit
Northern Sotho,Teilzeit
Spanish,Teilzeit
West Frisian,Vollzeit
Hungarian,Teilzeit
Malay,Teilzeit
Tok Pisin,Vollzeit
Albanian,Teilzeit
Azeri,Teilzeit
Japanese,Teilzeit
Yiddish,Vollzeit
Croatian,Vollzeit
Bislama,Teilzeit
Persian,Vollzeit
Māori,Teilzeit
Amharic,Teilzeit
Swahili,Teilzeit
Kyrgyz,Teilzeit
Dari,Vollzeit
Tajik,Teilzeit
Azeri,Vollzeit
Swahili,Vollzeit
Italian,Teilzeit
Filipino,Teilzeit
Aymara,Vollzeit
Swati,Vollzeit
Fijian,Teilzeit
Sotho,Vollzeit
Italian,Vollzeit
German,Vollzeit
Burmese,Teilzeit
Dhivehi,Vollzeit
Catalan,Vollzeit
Aymara,Teilzeit
Zulu,Teilzeit
Macedonian,Vollzeit
Hungarian,Teilzeit
Swedish,Vollzeit
Pashto,Vollzeit
Arabic,Teilzeit
Japanese,Teilzeit
Bosnian,Vollzeit
Gagauz,Vollzeit
Kazakh,Teilzeit
Kyrgyz,Teilzeit
Dutch,Vollzeit
Tok Pisin,Teilzeit
Swedish,Vollzeit
Hungarian,Vollzeit
Khmer,Teilzeit
Polish,Vollzeit
Montenegrin,Vollzeit
Bislama,Vollzeit
Nepali,Vollzeit
Filipino,Vollzeit
Hebrew,Teilzeit
Tsonga,Vollzeit
Aymara,Vollzeit
Georgian,Vollzeit
Mongolian,Teilzeit
Kazakh,Teilzeit
Northern Sotho,Vollzeit
Macedonian,Vollzeit
Bengali,Vollzeit
Malayalam,Teilzeit
Portuguese,Vollzeit
Assamese,Vollzeit
Tamil,Vollzeit
Malagasy,Vollzeit
Dhivehi,Teilzeit
Maltese,Vollzeit
Estonian,Teilzeit
Portuguese,Teilzeit
Marathi,Teilzeit
Hebrew,Teilzeit
Ndebele,Teilzeit
Marathi,Vollzeit
Icelandic,Vollzeit
French,Vollzeit
Armenian,Teilzeit
Gujarati,Vollzeit
Bosnian,Teilzeit
Tetum,Vollzeit
Dari,Vollzeit
Oriya,Teilzeit
Somali,Teilzeit
Catalan,Vollzeit
Dhivehi,Teilzeit
Romanian,Vollzeit
Bulgarian,Vollzeit
Kurdish,Teilzeit
Catalan,Vollzeit
Kannada,Teilzeit
Malay,Vollzeit
Bulgarian,Teilzeit
Oriya,Teilzeit
Croatian,Teilzeit
Thai,Teilzeit
Hebrew,Vollzeit
Dzongkha,Teilzeit
Malagasy,Teilzeit
Guaraní,Vollzeit
Japanese,Vollzeit
Albanian,Teilzeit
Fijian,Teilzeit
Danish,Teilzeit
Bengali,Teilzeit
Burmese,Teilzeit
Malayalam,Teilzeit
Tamil,Vollzeit
Danish,Vollzeit
Zulu,Teilzeit
Kannada,Vollzeit
German,Teilzeit
Aymara,Vollzeit
Lao,Vollzeit
Icelandic,Teilzeit
Albanian,Teilzeit
Telugu,Vollzeit
Malagasy,Teilzeit
Gujarati,Vollzeit
Bislama,Vollzeit
Assamese,Vollzeit
Belarusian,Vollzeit
Yiddish,Teilzeit
Fijian,Teilzeit
Amharic,Vollzeit
Hiri Motu,Teilzeit
Bislama,Vollzeit
English,Teilzeit
Bosnian,Teilzeit
Northern Sotho,Teilzeit
Gujarati,Vollzeit
Albanian,Teilzeit
Fijian,Vollzeit
Polish,Vollzeit
Azeri,Teilzeit
Polish,Vollzeit
Guaraní,Teilzeit
Hungarian,Teilzeit
Malagasy,Vollzeit
Assamese,Vollzeit
Gagauz,Vollzeit
Azeri,Vollzeit
Sotho,Vollzeit
Marathi,Vollzeit
Ndebele,Vollzeit
Haitian Creole,Vollzeit
Bosnian,Teilzeit
Tsonga,Vollzeit
Filipino,Teilzeit
Croatian,Vollzeit
Finnish,Teilzeit
New Zealand Sign Language,Teilzeit
Catalan,Vollzeit
New Zealand Sign Language,Vollzeit
Catalan,Teilzeit
Oriya,Vollzeit
Marathi,Teilzeit
Icelandic,Teilzeit
Irish Gaelic,Teilzeit
New Zealand Sign Language,Vollzeit
Moldovan,Teilzeit
Korean,Teilzeit
Hiri Motu,Vollzeit
Yiddish,Teilzeit
Norwegian,Vollzeit
Aymara,Vollzeit
Telugu,Vollzeit
Dhivehi,Teilzeit
German,Vollzeit
Hiri Motu,Vollzeit
Swedish,Vollzeit
Burmese,Vollzeit
Afrikaans,Vollzeit
Polish,Vollzeit
Hungarian,Teilzeit
Amharic,Vollzeit
Armenian,Teilzeit
Irish Gaelic,Vollzeit
Catalan,Vollzeit
Croatian,Vollzeit
Zulu,Vollzeit
Arabic,Vollzeit
Pashto,Vollzeit
Bosnian,Teilzeit
Korean,Vollzeit
New Zealand Sign Language,Teilzeit
Irish Gaelic,Teilzeit
Papiamento,Vollzeit
Tajik,Vollzeit
Indonesian,Teilzeit
Korean,Vollzeit
Montenegrin,Vollzeit
Malay,Teilzeit
Montenegrin,Vollzeit
Northern Sotho,Vollzeit
Georgian,Vollzeit
Persian,Vollzeit
Papiamento,Vollzeit
Portuguese,Teilzeit
Irish Gaelic,Teilzeit
Hindi,Teilzeit
Ndebele,Teilzeit
Tajik,Teilzeit
Khmer,Teilzeit
Tamil,Teilzeit
Georgian,Vollzeit
Afrikaans,Teilzeit
Belarusian,Vollzeit
Māori,Vollzeit
Tajik,Vollzeit
Somali,Teilzeit
Sotho,Teilzeit
Swati,Vollzeit
Polish,Teilzeit
Norwegian,Teilzeit
Dhivehi,Vollzeit
Dutch,Teilzeit
Hebrew,Vollzeit
Greek,Teilzeit
Swedish,Teilzeit
Bislama,Teilzeit
Tetum,Teilzeit
Korean,Vollzeit
Georgian,Vollzeit
Pashto,Teilzeit
Persian,Vollzeit
Chinese,Vollzeit
New Zealand Sign Language,Vollzeit
Northern Sotho,Vollzeit
Lao,Vollzeit
Portuguese,Vollzeit
Czech,Vollzeit
Tswana,Teilzeit
Lao,Vollzeit
