Gender,Language
Male,Greek
Female,Chinese
Male,French
Female,Sotho
Female,Luxembourgish
Female,Montenegrin
Female,Malayalam
Female,Dzongkha
Female,Croatian
Female,Afrikaans
Male,Dutch
Female,Moldovan
Female,Filipino
Male,Bosnian
Female,French
Female,Georgian
Female,Aymara
Female,Tsonga
Female,Telugu
Male,Māori
Male,Chinese
Male,Lao
Female,Malayalam
Female,Swahili
Male,Kazakh
Male,Luxembourgish
Female,Croatian
Male,Kazakh
Female,Norwegian
Female,Pashto
Male,Marathi
Male,Telugu
Male,Dhivehi
Male,Malagasy
Male,Malay
Female,Gagauz
Male,Indonesian
Male,Punjabi
Male,Tswana
Female,Hungarian
Male,Thai
Male,Bislama
Female,Norwegian
Female,Filipino
Male,Georgian
Male,Dari
Male,Papiamento
Female,Bulgarian
Male,Gujarati
Male,Tsonga
Female,Moldovan
Female,Lao
Female,Somali
Female,English
Male,Tajik
Male,Swati
Male,Indonesian
Male,Swati
Female,Portuguese
Male,Amharic
Male,Irish Gaelic
Female,Greek
Female,Marathi
Male,French
Female,Filipino
Female,Polish
Male,Quechua
Male,Kyrgyz
Female,Czech
Female,Northern Sotho
Female,Assamese
Female,Nepali
Female,Czech
Male,Haitian Creole
Female,Spanish
Male,Gagauz
Male,Azeri
Male,Mongolian
Female,Persian
Male,Gujarati
Female,Fijian
Female,Nepali
Male,Hungarian
Male,Polish
Female,Gagauz
Female,Greek
Female,Māori
Female,Gujarati
Male,Assamese
Male,Tamil
Male,Kannada
Female,Dari
Female,Tamil
Male,Dhivehi
Female,Latvian
Male,Lao
Female,Tok Pisin
Male,Irish Gaelic
Male,Thai
Male,Dari
Female,Khmer
Female,Tetum
Male,Khmer
Female,Bengali
Male,Dhivehi
Female,Montenegrin
Male,Māori
Male,Marathi
Male,Hungarian
Female,Yiddish
Male,Kyrgyz
Female,Macedonian
Male,Azeri
Female,Tetum
Male,Norwegian
Female,Belarusian
Female,Irish Gaelic
Female,Sotho
Male,Georgian
Female,Swati
Female,Khmer
Female,Kashmiri
Female,Armenian
Female,Hungarian
Male,Icelandic
Female,Croatian
Female,Armenian
Female,Chinese
Male,Malagasy
Female,West Frisian
Male,Burmese
Male,Fijian
Male,Azeri
Female,Dutch
Female,Tswana
Male,Kazakh
Female,Irish Gaelic
Female,Macedonian
Female,Lithuanian
Male,Catalan
Female,Estonian
Male,Dzongkha
Female,Montenegrin
Female,Kurdish
Female,Swahili
Male,Malay
Female,Icelandic
Female,Telugu
Male,Arabic
Male,Assamese
Male,Moldovan
Female,Finnish
Male,Dhivehi
Female,Bosnian
Male,Assamese
Female,Belarusian
Male,Catalan
Male,Georgian
Male,Armenian
Female,Persian
Female,Tsonga
Male,Luxembourgish
Male,Sotho
Female,Dutch
Female,Punjabi
Female,Afrikaans
Female,Estonian
Male,Swahili
Male,Icelandic
Female,Moldovan
Female,Tsonga
Female,Nepali
Female,Bislama
Female,Tajik
Male,Swahili
Female,Persian
Male,Haitian Creole
Female,Bulgarian
Female,Guaraní
Male,Sotho
Female,Aymara
Male,French
Male,Oriya
Female,Belarusian
Female,Albanian
Female,Montenegrin
Male,Mongolian
Male,Tok Pisin
Male,Filipino
Male,Kashmiri
Female,Guaraní
Female,Danish
Male,Tamil
Male,English
Male,Hebrew
Female,Portuguese
Male,Haitian Creole
Male,Hiri Motu
Male,Kashmiri
Male,Maltese
Male,West Frisian
Male,Gujarati
Male,Norwegian
Female,Latvian
Male,Danish
Female,Luxembourgish
Female,Arabic
Female,Hebrew
Female,Croatian
Female,Swati
Female,Hungarian
Female,Estonian
Male,Kyrgyz
Female,Swedish
Female,Sotho
Female,Oriya
Female,Dari
Female,Finnish
Female,Chinese
Female,Kazakh
Male,Catalan
Female,Czech
Male,Armenian
Male,Norwegian
Female,Pashto
Female,Georgian
Female,Arabic
Female,Haitian Creole
Male,Sotho
Female,Hindi
Male,Albanian
Male,Fijian
Male,Lithuanian
Female,Belarusian
Male,Marathi
Male,Persian
Female,Indonesian
Male,French
Female,Moldovan
Female,Maltese
Female,Croatian
Male,Ndebele
Male,New Zealand Sign Language
Female,Portuguese
Male,Georgian
Male,Tok Pisin
Male,Italian
Male,Swedish
Female,Arabic
Female,Oriya
Male,Amharic
Male,Hungarian
Female,Kazakh
Female,Gagauz
Female,Icelandic
Female,Malay
Male,Swati
Female,Irish Gaelic
Female,German
Female,Zulu
Female,Norwegian
Male,Tok Pisin
Female,Somali
Male,Italian
Female,German
Male,Hebrew
Female,German
Male,Zulu
Male,Marathi
Female,Bengali
Female,Hiri Motu
Male,Belarusian
Female,Pashto
Male,Papiamento
Female,Fijian
Male,Ndebele
Female,Khmer
Female,Moldovan
Female,Somali
Female,Lithuanian
Male,Azeri
Female,Thai
Male,Hiri Motu
Male,Papiamento
Male,Kashmiri
Male,Moldovan
Female,West Frisian
Male,Northern Sotho
Female,Māori
Male,Haitian Creole
Female,Hebrew
Female,Yiddish
Male,Sotho
Male,Belarusian
Male,Arabic
Male,Swahili
Female,Somali
Female,Croatian
Female,Tajik
Male,Gujarati
Male,Hebrew
Female,Bulgarian
Male,Gujarati
Male,Luxembourgish
Female,Belarusian
Male,Yiddish
Female,Papiamento
Female,Somali
Female,Hebrew
Male,Māori
Female,Kyrgyz
Male,Georgian
Male,Malayalam
Male,Indonesian
Female,Dari
Male,Amharic
Male,Kashmiri
Female,Macedonian
Female,Albanian
Male,Bengali
Male,Danish
Male,Bulgarian
Male,Greek
Male,Hungarian
Female,Icelandic
Female,Japanese
Male,Dhivehi
Male,Marathi
Female,Dari
Female,Montenegrin
Male,Hebrew
Female,Macedonian
Female,Gagauz
Female,Somali
Female,Arabic
Female,Maltese
Female,Haitian Creole
Female,Tajik
Male,Fijian
Male,Northern Sotho
Female,Moldovan
Male,Irish Gaelic
Male,Italian
Male,Moldovan
Female,Māori
Male,Moldovan
Male,Khmer
Female,Portuguese
Male,Norwegian
Female,Swati
Female,Filipino
Male,Azeri
Male,Tetum
Male,Bosnian
Male,Georgian
Female,Dari
Male,Fijian
Male,Hebrew
Male,Albanian
Male,Nepali
Female,Amharic
Male,Māori
Female,Maltese
Female,Swahili
Male,Dutch
Male,Dutch
Male,Lao
Male,Ndebele
Female,Portuguese
Male,Filipino
Male,Gujarati
Male,Hiri Motu
Male,Czech
Male,Tetum
Male,Gujarati
Male,Albanian
Female,Japanese
Male,Finnish
Female,Haitian Creole
Male,Greek
Female,Italian
Female,Dzongkha
Male,Polish
Male,New Zealand Sign Language
Female,Tsonga
Female,Thai
Female,Polish
Male,Finnish
Male,Malagasy
Male,Tetum
Female,Irish Gaelic
Male,Tswana
Male,Azeri
Female,Northern Sotho
Female,Luxembourgish
Male,Armenian
Female,Lao
Female,Macedonian
Female,Swati
Male,Kashmiri
Male,Japanese
Male,Khmer
Female,Hindi
Female,Fijian
Female,Estonian
Female,Assamese
Male,Guaraní
Male,Haitian Creole
Female,Ndebele
Female,Malay
Male,Lithuanian
Male,Belarusian
Male,Lao
Female,Bosnian
Male,Telugu
Male,Hungarian
Male,Dzongkha
Female,Marathi
Male,Bengali
Female,Swahili
Male,Telugu
Male,Greek
Male,Punjabi
Male,Georgian
Male,West Frisian
Male,Swahili
Female,Icelandic
Male,Malay
Female,Catalan
Female,Armenian
Male,Afrikaans
Male,Greek
Male,Swedish
Male,Haitian Creole
Female,Persian
Male,Danish
Female,Dzongkha
Female,Luxembourgish
Male,Gagauz
Male,Czech
Female,Catalan
Male,Tok Pisin
Female,Tajik
Female,Arabic
Male,Malayalam
Male,Polish
Male,Somali
Male,Bosnian
Female,Quechua
Female,Catalan
Female,Amharic
Female,Czech
Female,Dhivehi
Female,Macedonian
Male,Aymara
Female,Kazakh
Male,Arabic
Female,Tajik
Male,Fijian
Male,Haitian Creole
Female,Tsonga
Male,Portuguese
Female,Montenegrin
Female,Dzongkha
Male,Albanian
Male,Latvian
Male,Spanish
Male,Indonesian
Female,Quechua
Male,Assamese
Female,Khmer
Male,Macedonian
Male,Northern Sotho
Female,Dzongkha
Female,Swedish
Female,Belarusian
Male,Pashto
Male,Afrikaans
Female,Czech
Male,Northern Sotho
Male,Ndebele
Male,Tok Pisin
Male,Malagasy
Female,Oriya
Male,Lithuanian
Female,Macedonian
Male,Catalan
Male,Sotho
Male,Tamil
Male,Italian
Male,West Frisian
Female,Arabic
Male,Hebrew
Male,Malagasy
Female,Armenian
Male,Dari
Male,Tamil
Female,Malay
Female,Italian
Female,Armenian
